name,URL_to_harvest,url FIDELIS,FIDELIS member,FAIRsharing ID,remarks
Rhea,https://www.rhea-db.org/,,False,1639,
OMA,https://omabrowser.org/oma/home/,,False,,
OrthoDB,https://www.orthodb.org/,,False,2080,
Cellosaurus,https://www.cellosaurus.org/,,False,2348,
Glittr,https://glittr.org,https://glittr.org/?per_page=25&sort_by=stargazers&sort_direction=desc,True,5916,
ArrayExpress,https://www.ebi.ac.uk/arrayexpress/,,False,1845,
Swiss Food Composition Database,http://naehrwertdaten.ch,,False,,
PortFIR,https://portfir.insa.min-saude.pt/,,False,,
UIST Digital Repository,http://repository.uist.edu.mk/,,False,,
SWISSUbase,https://www.swissubase.ch/en/,https://www.swissubase.ch/en/,True,,
Cave Fauna of Greece Database,https://database.inspee.gr/,,False,,
EPrints UKLO (UKLO Institutional Repository),https://eprints.uklo.edu.mk,,False,,
EnergoLocal,https://www.verdava.ro/,,False,,
PolarTRUST Meteo-Data Repository,https://data.polarmeteoroloji.com/,,False,,
Portality,https://portality.tech/,,False,,
ESRF Data Portal,https://data.esrf.fr/,https://smis.esrf.fr/,True,,
The Human Organ Atlas,https://human-organ-atlas.esrf.fr/,,False,,
Paleontology database,https://paleo.esrf.fr/,,False,,
ESRF Cultural Heritage database,https://cultural-heritage.esrf.fr/tomo/,,False,,
ARCHE,https://arche.acdh.oeaw.ac.at/browser/,https://arche.acdh.oeaw.ac.at/browser/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
ASAP (Automated Single-cell Analysis Portal),https://asap.epfl.ch/,https://asap.epfl.ch/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
CESSDA ERIC,https://www.cessda.eu/,https://www.cessda.eu/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
CORA.Repositori de Dades de Recerca,https://dataverse.csuc.cat/,https://dataverse.csuc.cat/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
CRIS UNS,https://cris.uns.ac.rs/en,https://cris.uns.ac.rs/en,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
DOME Registry,https://registry.dome-ml.org/intro,https://registry.dome-ml.org/intro,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
e-cienciaDatos,https://edatos.consorciomadrono.es/,https://edatos.consorciomadrono.es/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
Edinburgh DataShare,https://datashare.ed.ac.uk/,https://datashare.ed.ac.uk/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
GrantHub,https://granthub.cz/,https://granthub.cz/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
PHAIDRA - University of Padua,https://phaidra.unipd.it/,https://phaidra.unipd.it/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
PIST,http://www.pist.tn/,http://www.pist.tn/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
Radboud Data Repository,https://data.ru.nl/,https://data.ru.nl/,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
SOCIB Data Repository,https://www.socib.es/en,https://www.socib.es/en,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
UTM-CSIC Data Centre,https://data.utm.csic.es/portal/#overview-2,https://data.utm.csic.es/portal/#overview-2,True,,added from FIDELIS 2026-09-24; URL_to_harvest not checked
